127.0.0.1 - - [07/Nov/2015:18:22:51 -0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:23:21 -0200] "GET /Economy HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:23:21 -0200] "GET /Economy/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:23:22 -0200] "GET /Economy/javascript/slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:23:22 -0200] "GET /Economy/javascript/FactoryConnection.js HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:23:22 -0200] "GET /Economy/css/Estilos.css HTTP/1.1" 200 7702
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:23:22 -0200] "GET /Economy/javascript/getDadosFormulario.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:23:22 -0200] "GET /Economy/javascript/login.js HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:23:22 -0200] "GET /Economy/javascript/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:23:22 -0200] "GET /Economy/imagens/7.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:23:22 -0200] "GET /Economy/imagens/6.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:23:22 -0200] "GET /Economy/imagens/5.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:23:22 -0200] "GET /Economy/imagens/3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:23:22 -0200] "GET /Economy/html/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:23:22 -0200] "GET /Economy/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:23:22 -0200] "GET /Economy/javascript/loginSystem.js?_=1446927802355 HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:23:22 -0200] "GET /Economy/imagens/slide/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:23:22 -0200] "GET /css/Estilos.css HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [07/Nov/2015:18:23:22 -0200] "GET /Economy/imagens/logo.png HTTP/1.1" 200 6759
